mass	count	cc	cc_std
1.1764	1706	0	0
2.25304	577	0	0
3.11801	311	0.538001	0.332613
4.31504	310	0.54018	0.253737
5.97163	182	0.620179	0.165785
8.2642	109	0.631834	0.189872
11.4369	124	0.612186	0.142647
15.8276	88	0.606771	0.106366
21.904	68	0.612481	0.0919995
30.3132	65	0.629483	0.0699246
41.9508	32	0.61794	0.0503668
58.0561	34	0.636034	0.0421788
80.3444	18	0.621805	0.0468338
111.189	14	0.63522	0.0282448
153.876	23	0.619946	0.0359616
212.951	27	0.619464	0.020102
294.704	36	0.616932	0.0159285
407.844	36	0.61621	0.016444
