mass	count	cc	cc_std
1.1764	4819	0	0
2.25304	1709	0	0
3.11801	864	0.549885	0.179762
4.31504	888	0.632428	0.124706
5.97163	513	0.652024	0.119593
8.2642	293	0.638613	0.106949
11.4369	373	0.647192	0.0844083
15.8276	212	0.654427	0.0818343
21.904	200	0.665747	0.0612856
30.3132	156	0.6523	0.0505387
41.9508	90	0.646118	0.0434916
58.0561	59	0.647018	0.0322521
80.3444	39	0.652581	0.0316836
111.189	27	0.639554	0.0307513
153.876	12	0.631357	0.0145269
212.951	7	0.626409	0.0105494
294.704	1	0.64132	nan
